"attack_type","eps","alpha","steps","total_images","bleu_baseline","bleu_adversarial","bleu_delta","rouge_baseline","rouge_adversarial","rouge_delta","clip_baseline","clip_adversarial","clip_delta"
"pgd","8/255","1/255","10","1000","0.2524","0.1352","-0.1172","0.5063","0.4051","-0.1012","53.2212","53.3084","0.0872"
"pgd","4/255"","1/255","10","1000","0.2524","0.1572","-0.0952","0.5063","0.4289","-0.0774","53.2212","53.1961","-0.0251"
"pgd","2/255","1/255","10","1000","0.2524","0.1739","-0.0785","0.5063","0.4433","-0.0630","53.2212","52.9392","-0.2820"
"fgsm","8/255","N/A","N/A","1000","0.2524","0.2043","-0.0481","0.5063","0.4746","-0.0316","53.2212","53.7666","0.5455"
"fgsm","4/255","N/A","N/A","1000","0.2524","0.2166","-0.0358","0.5063","0.4830","-0.0233","53.2212","53.3490","0.1278"
"fgsm","2/255","N/A","N/A","1000","0.2524","0.2166","-0.0358","0.5063","0.4830","-0.0233","53.2212","53.3490","0.1278"
"veattack","8/255","1/255","10","1000","0.2724","0.1858","-0.0866","0.5113","0.4550","-0.0563","51.9214","53.7832","1.8618"
"veattack","6/255","1/255","10","1000","0.2724","0.1836","-0.0889","0.5113","0.4498","-0.0615","51.9214","53.9559","2.0345"
"veattack","4/255","1/255","10","1000","0.2724","0.2024","-0.0701","0.5113","0.4666","-0.0447","51.9214","54.3902","2.4688"
